"NUMBER","INETSDESC","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"FBRM025             ","13"" Ritual Broom W/ Peacock Feather                                                                                     ","6","0.4","30.95",,0,"FBRM025.jpg                              ",0
"FBRPEN              ","9"" Broom Pentagram                                                                                                      ","50","2","9.95",,0,"FBRPENN.jpg                              ",0
"FBRTOL              ","9"" Broom Tree of Life                                                                                                   ","48","2","8.95",,0,"FBRTOLA.jpg                              ",0
"FBSTASH             ","8 1/2""x 10 14"" Stash box                                                                                                ","9","6","52.95",,0,"FBSTASH.jpg                              ",0
"FBTP                ","3"" Plain Tingsha                                                                                                        ","0","0.7","50.95",,1,"FBTP.jpg                                 ",0
"FBWBX18             ","Dome Chest 3"" X 3""                                                                                                      ","64","0.5","7.95",,0,"FBWBX18.jpg                              ",0
"FBWIC               ","Wiccan Altar Bell 5""                                                                                                    ","14","0.4","12.95",,0,"FBWIC.JPG                                ",0
"FC105               ","100mm to 110mm Clear Gazing Ball                                                                                        ","16","4.2","64.95",,0,"FC50.JPG                                 ",0
"FC125               ","125mm Clear Gazing ball (125mm-130mm)                                                                                   ","17","6.5","104.95",,0,"FC50.JPG                                 ",0
"FC150               ","150mm Clear gazing ball                                                                                                 ","9","12.5","166.95",,0,"FC50.JPG                                 ",0
"FC200               ","200mm Clear gazing ball                                                                                                 ","10","30","378.95",,0,"FC50.JPG                                 ",0
"FC3331              ","(set of 4) 4"" Tree of Life wood coasters                                                                                ","2","0.7","17.95",,1,"FC3331.jpg                               ",0
"FC50                ","50mm Clear gazing ball                                                                                                  ","101","0.7","11.95",,0,"FC50.JPG                                 ",0
"FC50AL              ","50mm Alexandrite (Purple) gazing ball                                                                                   ","38","0.7","18.95",,0,"FC50AL.JPG                               ",0
"FC50AU              ","50mm Aurora gazing ball                                                                                                 ","0","0.7","25.95",,0,"FC50AU.JPG                               ",0
"FC50BK              ","50mm Black gazing ball                                                                                                  ","6","0.7","16.95",,0,"FC50BK.JPG                               ",0
"FC50CRE             ","50mm Clear gazing ball with Crescent Moon & Crow                                                                        ","6","1.3","38.95",,0,"FC50CRE.jpg                              ",0
"FC50GR              ","50mm Green gazing ball                                                                                                  ","5","0.7","18.95",,0,"FC50GR.JPG                               ",0
"FC50PEN             ","50mm Clear gazing ball with Pentagram Stand                                                                             ","5","0.9","31.95",,0,"FC50PEN.jpg                              ",0
"FC50RD              ","50mm Red gazing ball                                                                                                    ","39","0.7","26.95",,0,"FC50RD.JPG                               ",0
"FC50WIT             ","50mm Clear gazing ball with Witch Women                                                                                 ","11","1.4","47.95",,0,"FC50WIT.jpg                              ",0
"FC708               ","100mm Clear gazing ball                                                                                                 ","5","5.3","86.95",,0,"FC708.jpg                                ",0
"FC716               ","100mm Maiden, Mother Crone with Clear gazing ball                                                                       ","0","6.3","76.95",3/20/2026 0:00:00,0,"FC716.jpg                                ",0
"FC80                ","80mm Clear gazing ball                                                                                                  ","23","2.1","30.95",,0,"FC50.JPG                                 ",0
"FC80AL              ","80mm Alexandrite (Purple) gazing ball                                                                                   ","19","2.1","40.95",,0,"FC80AL.JPG                               ",0
"FC80AU              ","80mm Aurora gazing ball                                                                                                 ","21","2.1","39.95",,0,"FC80AU.jpg                               ",0
"FC80BK              ","80mm Black gazing ball                                                                                                  ","11","2.1","39.95",,0,"FC80BK.JPG                               ",0
"FC80CRE             ","80mm Clear gazing ball with Crescent Moon & Crow                                                                        ","3","2.5","57.95",,0,"FC80CRE.jpg                              ",0
"FC80PEN             ","80mm Clear gazing ball with Pentagram Stand                                                                             ","7","2.1","50.95",,0,"FC80PEN.jpg                              ",0
"FCCRB07             ","5"" Mother maiden Crone ball stand W light                                                                               ","8","1.2","26.95",,0,"FCCRB07.jpg                              ",0
"FCCT16              ","Green Man Caftan 3 ft square                                                                                            ","64","0.9","58.95",,0,"WCCT16.jpg                               ",0
"FCFC8               ","Cape: Moon Goddess black 6'                                                                                             ","0","0.9","58.95",5/1/2026 0:00:00,0,"FCFC8.jpg                                ",0
"FCG152              ","8"" Pagan crystal grid                                                                                                   ","32","0.2","9.95",,0,"FCG152.jpg                               ",0
"FCH024              ","(set of 2) Cube gazing ball stand                                                                                       ","23","0.1","4.95",,0,"FCH024.jpg                               ",0
"FCH157              ","2 1/4"" Mother Maiden Crone card holder                                                                                  ","0","0.5","17.95",3/20/2026 0:00:00,0,"FCH157.jpg                               ",0
"FCH270              ","Dragon gazing ball stand                                                                                                ","21","1.2","39.95",,0,"FCH270.jpg                               ",0
"FCHFG               ","Gold Plated Flower gazing ball stand                                                                                    ","5","0.1","8.95",,0,"FCHFG.JPG                                ",0
"FCHFS               ","Silver Plated Flower gazing ball stand                                                                                  ","35","0.1","8.95",,0,"FCHFS.JPG                                ",0
"FCHZS               ","Silver metal Zinc Plated gazing ball stand                                                                              ","100","0.07","3.95",,0,"FCHZS.jpg                                ",0
"FCOSEL3             ","2 "" - 3"" Orange Selenite gazing ball                                                                                    ","632","1.6","14.95",,0,"FCOSEL3.jpg                              ",0
"FCR2P               ","Pink Rattail 2mm 144 yds                                                                                                ","3","0.5","15.95",,1,"FCR2PA.jpg                               ",0
"FCSBAS              ","2 3/4"" Bastet ball stand  (for 50mm balls)                                                                              ","16","0.4","25.95",,0,"FCSBAS.jpg                               ",0
"FCSCLA              ","4 1/4"" Claw ball stand  (for 50mm balls)                                                                                ","0","0.4","28.95",,1,"FCSCLA.jpg                               ",0
"FCSEL3              ","3"" Selenite gazing ball                                                                                                 ","46","1.6","10.95",,0,"FCSEL3.jpg                               ",0
"FCWC2B              ","Black Waxed Cotton cord 2mm 100 meters                                                                                  ","0","0.7","14.95",3/5/2026 0:00:00,0,"FCWC2B.jpg                               ",0
"FD01                ","(set of 2) 12"" x 4 3/4"" copper Drowsing Rod                                                                             ","52","0.5","22.95",,0,"FD01.jpg                                 ",0
"FD160               ","8"" Happy Drum Fatima Hand/Evil Eye                                                                                      ","15","5","118.95",,0,"FD160.jpg                                ",0
"FD3450              ","4 1/2"" x 6 1/2"" Sun tarot dish                                                                                          ","45","0.9","16.95",,0,"FD3450.jpg                               ",0
"FD3451              ","4 1/2"" x 6 1/2"" Moon tarot dish                                                                                         ","45","0.9","16.95",,0,"FD3451.jpg                               ",0
"FD3452              ","4 1/2"" x 6 1/2"" Wheel of Furtune tarot dish                                                                             ","44","0.9","16.95",,0,"FD3452.jpg                               ",0
