Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
drunoral-runic-oracle-by-lister-moon,Runic Oracle by Lister & Moon,"This unique oracle deck with a luxurious velvet finish combines spirituality and mythology, runic wisdom, Norse tradition and Viking ancestral myth. Richard Lister is known worldwide for his expertise in runes, spiritual well-being, and deep healing practices appealing to a male and female audiences. Runic Oracle combines runic wisdom and northern traditional ancestral myth. These 44 cards will connect you to the hidden aspects of the universe and lead you on a journey to discover your inner Viking or volva (witch). Drawing on Scandinavian and Northern European ancestral myth and lore, these cards will help you explore the wyrd, the interconnecting energies of fate or destiny. Richard Lister delves into the runes of the elder Futhark, the Nordic pantheon and the energies in the stories and tales of the Vikings, guiding you through this ancient wisdom.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DRUNORAL,453,shopify,13,deny,azuregreen,61.09,,TRUE,TRUE,,https://www.azuregreen.net/images/DRUNORAL.jpg,1,Runic Oracle by Lister & Moon,FALSE,active
druntar-runic-tarot-by-sephiroth-dempster,Runic Tarot by Sephiroth & Dempster,"Valhalla: The Realm of the Gods. From the author of the Tarot of Heaven and Earth, the Runic Tarot is the best deck designed on the theme of Norse mythology. This deck is the mighty and fierce guardian of an ancient aura. Weave together the wisdom of the Runes, the poetry of the Skalds, the valor of the Einherjar and the timeless gift of life and nature. The Runic Tarot is a tribute to the divine spark inherent in humanity.",AzureGreen,Metaphysical Supplies,"Tarot Decks,Runes & Rune Products,All Divination,All Tarot & Oracle Decks and Sets,Viking & Celtic Products,Divination Tools,The Way to Resonance",FALSE,Title,Default Title,DRUNTAR,498,shopify,0,deny,azuregreen,63.35,,TRUE,TRUE,,https://www.azuregreen.net/images/DRUNTAR.jpg,1,Runic Tarot by Sephiroth & Dempster,FALSE,active
dsaccir-sacred-circle-celtic-pagan-journey-tarot-by-franklin-mason,"Sacred Circle, Celtic Pagan Journey tarot by Franklin & Mason","Llewellyn's Sacred Circle Tarot is now available as a deck only. This exceptionally popular and groundbreaking deck combines photographs, computer imaging, and traditional drawing techniques to create stunning images. Drawing on the sacred sites and Pagan heritage of Britain and Ireland, the symbols of the Sacred Circle Tarot unlock the deepest levels of Pagan teaching. The imagery of the cards is designed to work on a number of levels, serving as a tool not only for divination but to facilitate meditation, personal growth, and spiritual development. The major arcana is modified somewhat to fit the pagan theme of the deck. For example, ""The Fool"" becomes ""The Green Man,"" ""The Hierophant"" becomes ""The Druid,"" and ""The World"" becomes ""The World Tree."" Enter the sacred circle and experience a dawning of consciousness harkening back to the bards of Celtic lore. Includes 78 cards and an instructional booklet.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Viking & Celtic Products,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSACCIR,362,shopify,9,deny,azuregreen,58.91,,TRUE,TRUE,,https://www.azuregreen.net/images/DSACCIR.JPG,1,"Sacred Circle, Celtic Pagan Journey tarot by Franklin & Mason",FALSE,active
dsanmue-santa-muerte-tarot-by-fabio-listrani,Santa Muerte tarot by Fabio Listrani,"A masterpiece of inspired imagery, this tarot deck is a powerful tool for working with the mysticism associated with the Day of the Dead and Santa Muerte. Book of the dead. The companion booklets for most Lo Scarabeo decks are in five languages: English, Spanish, French, Italian, and German. 78 cards with guidebook.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSANMUE,408,shopify,4,deny,azuregreen,61.09,,TRUE,TRUE,,https://www.azuregreen.net/images/DSANMUE.jpg,1,Santa Muerte tarot by Fabio Listrani,FALSE,active
dseawitbe-season-of-the-witch-beltane-oracle-by-anderson-diaz,Season of the Witch Beltane oracle by Anderson & Diaz,"Unlock your potential for growth, creativity, and abundance with the energy of Beltane! Also known as May Day, Beltane honors life and is a celebration of passion and putting your plans into action. The Earth's energies are at their strongest and most active, where all of life is bursting with potent fertility. At this point in the Wheel of the Year, your potential can be unleashed. This is a beautifully designed book and card deck set. Each of the 44 cards in this oracle deck is a seed of spiritual guidance, inspired by ancient Beltane themes, to find answers to your most profound questions. The accompanying guidebook features original poetry from Juliet Diaz that doubles as invocations for magick and ritual.These cards align with your energy, helping you to unlock your inner wisdom with the help of powerful spiritual forces. Along with thoughtful meanings are invocations, or powerful word spells, to invoke the energy of each card and to send your intentions of spiritual well-being out into the universe.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSEAWITBE,408,shopify,3,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITBE.jpg,1,Season of the Witch Beltane oracle by Anderson & Diaz,FALSE,active
dseawitim-season-of-the-witch-imbolc-oracle-by-anderson-diaz,Season of the Witch Imbolc oracle by Anderson & Diaz,"This season get ready to ascend from darkness, reaching for your hopes and dreams as you step out of winter and into the light. Imbolc is associated with patience, hope, transitions, and beginning the ascent back to the light after the darkness of the winter months, this is the perfect season to represent the self. It's a time when the harshness of a spiritually dark cycle may bring up feelings of vulnerability or confusion about your next steps, or when you need some encouragement to keep going. This sabbat is also the most suited for solitary spiritual work, where you turn inward and focus on your own hopes and dreams.This is a beautifully designed book and card deck set. Each of the 44 cards in this oracle deck is a seed of spiritual guidance. The messages give the user a glimpse of the card's inner meaning, making this oracle an excellent way for beginners to developing their own intuitive reading skills. These cards align with your energy, helping you to unlock your inner wisdom with the help of powerful spiritual forces. Along with thoughtful meanings are powerful word spells, to invoke the energy of each card and to send your intentions of spiritual well-being out into the universe.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSEAWITIM,408,shopify,8,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITIM.jpg,1,Season of the Witch Imbolc oracle by Anderson & Diaz,FALSE,active
dseawitla-season-of-the-witch-lammas-oracle-by-anderson-diaz,Season of the Witch Lammas oracle by Anderson & Diaz,"he seventh deck in the bestselling Seasons of the Witch series celebrates Lammas and centers on harvest, success, and gratitude. The seventh deck in the bestselling Seasons of the Witch series reclaims Lammas, the season of harvest, success and gratitude, as the energy of the boss witch. Explore the meanings of the 44 beautiful cards and use the invocations and practices in the guidebook to connect more deeply with the energy of Lammas as you support and nourish your dreams. This deck will guide you to believe in yourself and have the courage to chase your desires.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSEAWITLA,408,shopify,23,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITLA.jpg,1,Season of the Witch Lammas oracle by Anderson & Diaz,FALSE,active
dseawitli-season-of-the-witch-litha-oracle-by-anderson-diaz,Season of the Witch Litha oracle by Anderson & Diaz,"A celebration of abundance, light, growth and joy. Litha, also known as Midsummer and the Summer Solstice, the celebration of abundance, light, growth and joy.The earth has so much to teach us about embracing the energy of prosperity. More than money or wealth, abundance represents having enough of anything. Enough love, kindness, happiness, freedom, creativity, confidence and, of course, money too. Seasons of the Witch Litha Oracle is here to help you rediscover your soul's natural wealth so you can awaken your ability to manifest more of your heart's desires. For beginners and advanced practitioners alike, whether you are a green witch looking to reconnect to the bounty of the earth, a lover of slow magical Sundays spent slinging cards, or you're ready to let the light drive away your shadows and experience more healing and expansion, the 44 cards in this beautiful and unique deck are your confidants and companions.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",FALSE,Title,Default Title,DSEAWITLI,408,shopify,0,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITLI.jpg,1,Season of the Witch Litha oracle by Anderson & Diaz,FALSE,active
dseawitos-season-of-the-witch-ostara-oracle-by-anderson-diaz,Season of the Witch Ostara oracle by Anderson & Diaz,"A celebration of spring, renewal and new beginnings! Ostara, also known as the spring equinox marks the end of a journey, renewal, and new beginnings. It's an opportunity to step fearlessly onto a new path. A time of second chances and restoring hope, surrendering to the powerful version of yourself you are becoming. Seasons of the Witch, Ostara Oracle is here to guide you through your journey of rebirth, for no ending is truly the end but rather a portal, initiating you into the next cycle of your spiritual evolution. Whether this is your first deck or an addition to your treasured collection, the 44 cards in this beautifully illustrated oracle will help you to transcend even the darkest, longest winters of your soul.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,New Products,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSEAWITOS,408,shopify,22,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITOS.jpg,1,Season of the Witch Ostara oracle by Anderson & Diaz,FALSE,active
dseawityu-season-of-the-witch-yule-oracle-by-anderson-diaz,Season of the Witch Yule oracle by Anderson & Diaz,"And the Wheel turns! Yule reminds us of warmth, happiness, and a time to be thankful for all that we have. For centuries ancient healers have celebrated the restorative energy of the Yuletide festival, the traditional harsh winters reminding us of our impressive ability to weather tough storms and find support and comfort with loved ones. In Seasons of the Witch: Yule Oracle you'll discover 44 healing messages to align you with the divine wisdom of the year's darkest night and the joyful celebration associated with the winter holidays. This oracle is your path to deep reflection and tranquility and is a promise of the brighter days to come.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,Tarot & Oracle Deck Sets & Starter Kits,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DSEAWITYU,408,shopify,14,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/DSEAWITYU.jpg,1,Season of the Witch Yule oracle by Anderson & Diaz,FALSE,active
